0,1,0
0,2,256
0,3,368
0,4,416
0,5,448
0,11,480
0,12,480
0,6,496
0,13,520
0,7,560
0,14,912
1,1,0
1,2,256
1,3,368
1,4,416
1,5,448
1,11,480
1,12,480
1,6,496
1,13,520
1,7,560
1,15,976
1,19,1040
2,1,0
2,2,256
2,3,368
2,4,416
2,5,448
2,11,480
2,12,480
2,6,496
2,13,520
2,7,560
2,15,944
2,20,1008
3,1,0
3,2,256
3,3,368
3,4,416
3,5,448
3,11,480
3,12,480
3,6,496
3,13,520
3,7,560
3,15,944
3,21,1008
4,1,0
4,2,256
4,3,368
4,4,416
4,5,448
4,11,480
4,12,480
4,6,496
4,13,520
4,7,560
4,15,880
4,22,944
4,24,1008
5,1,0
5,2,256
5,3,368
5,4,416
5,5,448
5,11,480
5,12,480
5,6,496
5,13,520
5,7,560
5,15,880
5,22,944
6,1,0
6,2,256
6,3,368
6,4,416
6,5,448
6,11,480
6,12,480
6,6,496
6,13,520
6,7,560
6,15,912
7,1,0
7,2,256
7,3,368
7,4,416
7,5,448
7,11,480
7,12,480
7,6,496
7,13,520
7,7,560
7,16,784
7,23,816
8,1,0
8,2,256
8,3,368
8,4,416
8,5,448
8,11,480
8,12,480
8,6,496
8,13,520
8,7,560
8,16,720
9,1,0
9,2,256
9,3,368
9,4,416
9,5,448
9,11,480
9,12,480
9,6,496
9,13,520
9,7,560
10,1,0
10,2,256
10,3,368
10,4,416
10,5,448
10,11,480
10,12,480
10,6,496
10,13,520
10,8,560
10,17,880
10,18,1056
10,14,1296
11,1,0
11,2,256
11,3,368
11,4,416
11,5,448
11,11,480
11,12,480
11,6,496
11,13,520
11,8,560
11,17,880
11,18,928
11,15,1040
11,19,1104
12,1,0
12,2,256
12,3,368
12,4,416
12,5,448
12,11,480
12,12,480
12,6,496
12,13,520
12,8,560
12,17,880
12,18,928
12,15,1168
12,20,1232
13,1,0
13,2,256
13,3,368
13,4,416
13,5,448
13,11,480
13,12,480
13,6,496
13,13,520
13,8,560
13,17,880
13,18,928
13,15,1168
13,21,1232
14,1,0
14,2,256
14,3,368
14,4,416
14,5,448
14,11,480
14,12,480
14,6,496
14,13,520
14,8,560
14,17,880
14,18,1056
14,15,1232
14,22,1296
14,24,1360
15,1,0
15,2,256
15,3,368
15,4,416
15,5,448
15,11,480
15,12,480
15,6,496
15,13,520
15,8,560
15,17,880
15,18,1056
15,15,1296
15,22,1360
16,1,0
16,2,256
16,3,368
16,4,416
16,5,448
16,11,480
16,12,480
16,6,496
16,13,520
16,8,560
16,17,880
16,18,1056
16,15,1168
17,1,0
17,2,256
17,3,368
17,4,416
17,5,448
17,11,480
17,12,480
17,6,496
17,13,520
17,8,560
17,17,880
17,18,928
17,16,1040
17,23,1072
18,1,0
18,2,256
18,3,368
18,4,416
18,5,448
18,11,480
18,12,480
18,6,496
18,13,520
18,8,560
18,17,880
18,18,1056
18,16,1104
19,1,0
19,2,256
19,3,368
19,4,416
19,5,448
19,11,480
19,12,480
19,6,496
19,13,520
19,8,560
19,17,880
19,18,1120
20,1,0
20,2,256
20,3,368
20,4,416
20,5,448
20,11,480
20,12,480
20,6,496
20,13,520
20,8,560
20,17,880
20,14,1056
21,1,0
21,2,256
21,3,368
21,4,416
21,5,448
21,11,480
21,12,480
21,6,496
21,13,520
21,8,560
21,17,880
21,15,1120
21,19,1184
22,1,0
22,2,256
22,3,368
22,4,416
22,5,448
22,11,480
22,12,480
22,6,496
22,13,520
22,8,560
22,17,880
22,15,992
22,20,1056
23,1,0
23,2,256
23,3,368
23,4,416
23,5,448
23,11,480
23,12,480
23,6,496
23,13,520
23,8,560
23,17,880
23,15,992
23,21,1056
24,1,0
24,2,256
24,3,368
24,4,416
24,5,448
24,11,480
24,12,480
24,6,496
24,13,520
24,8,560
24,17,880
24,15,928
24,22,992
24,24,1056
25,1,0
25,2,256
25,3,368
25,4,416
25,5,448
25,11,480
25,12,480
25,6,496
25,13,520
25,8,560
25,17,880
25,15,992
25,22,1056
26,1,0
26,2,256
26,3,368
26,4,416
26,5,448
26,11,480
26,12,480
26,6,496
26,13,520
26,8,560
26,17,880
26,15,1056
27,1,0
27,2,256
27,3,368
27,4,416
27,5,448
27,11,480
27,12,480
27,6,496
27,13,520
27,8,560
27,17,880
27,16,1120
27,23,1152
28,1,0
28,2,256
28,3,368
28,4,416
28,5,448
28,11,480
28,12,480
28,6,496
28,13,520
28,8,560
28,17,880
28,16,992
29,1,0
29,2,256
29,3,368
29,4,416
